title,price,location,url,posted_date
"HP 850 G5 Laptop, Intel i7 8th gen, 512 GB SSD, 16GB mem",$225,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-850-g5-laptop-intel-i7-8th/7832477374.html,
"HP 650 G4 Laptop, Intel i5 8th Gen, 256 GB SSD Drive, 8GB memory",$150,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-650-g4-laptop-intel-i5-8th/7832477071.html,
"HP 840 G5 Laptop, Intel i7 8th gen, 512 GB SSD, 16GB mem",$200,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-840-g5-laptop-intel-i7-8th/7832476913.html,
"HP Laptop i3 15.6"" Touch Screen, Web Cam",$80,Colton,https://portland.craigslist.org/clc/sys/d/colton-hp-laptop-i3-156-touch-screen/7824257013.html,
Laptop MacBook Pro 13 inch,$65,Vancouver,https://portland.craigslist.org/mlt/sys/d/vancouver-laptop-macbook-pro-13-inch/7857949864.html,
"Leeds laptop messenger bag for 17"" laptop-Pet/Smoke Free home",$5,Beaverton,https://portland.craigslist.org/wsc/sys/d/portland-leeds-laptop-messenger-bag-for/7831601165.html,
ASUS RYZEN 7 7435HS 8GB RAM 500GB SSD RTX 2050 GAMING LAPTOP,$475,136th & SE Powell Blvd,https://portland.craigslist.org/mlt/sys/d/portland-asus-ryzen-hs-8gb-ram-500gb/7848715302.html,
"DELL Latitude E6520 Laptop with i7 processor, SSD, Windows 10",$90,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-e6520-laptop/7854756246.html,
"Case Logic Laptop Carrying Case, Black, Up to 16"", Nice!",$10,Cedar Mill Area,https://portland.craigslist.org/wsc/sys/d/portland-case-logic-laptop-carrying/7821548076.html,
"Lenovo Thinkpad Laptop with i7 processor, Windows 10, SSD, Touchscreen",$120,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-lenovo-thinkpad-laptop-with-i7/7854912722.html,
Dell Latitude 5420 Core i5-1145G7 (11th Gen) 16GB RAM 256GB Laptop,$440,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-dell-latitude-5420-core-i5/7849311812.html,
"Dell XPS 13 9333 13.3"" Laptop",$150,Tigard,https://portland.craigslist.org/wsc/sys/d/portland-dell-xps-laptop/7827093261.html,
"HP Laptop- 16GB Ram, Intel  i5 @ 2.20GHz, Win 11, MS Office 2024",$260,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-hp-laptop-16gb-ram-intel-i5/7855493564.html,
MacBook Air 2019 - Core i5 Laptop,$350,WOODBURN,https://portland.craigslist.org/clc/sys/d/woodburn-macbook-air-core-i5-laptop/7857666286.html,
"HP Laptop- Intel  i7 @2.60GHz, 16GB Ram, Win 11, MS Office 2024",$240,Vancouver,https://portland.craigslist.org/clk/sys/d/vancouver-hp-laptop-intel-i7-260ghz/7855423220.html,
