title,price,location,url,posted_date,image_url,condition,description,post_id,seller_type
"HP 850 G5 Laptop, Intel i7 8th gen, 512 GB SSD, 16GB mem",$225,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-850-g5-laptop-intel-i7-8th/7832477374.html,,,,"QR Code Link to This Post


HP 850 G5 EliteBook Laptop in very clean condition. Comes with AC adapter and decent battery life. The EliteBook line is HP's commercial laptops, they are much more robust than the consumer line of laptops.

HP 850 G5 EliteBook Laptop - Good battery life - 15"" Screen
Intel Core i7 Processor - 8550U 8th Gen CPU
16 GIG DDR4 Memory (Add 16GB more for only $20)
512 GIG M.2 SSD Drive
2 USB 3.0 Ports - 1 USB C Port
Webcam
Realtek High Def Audio
AMD Radeon RX 540 dedicated graphics
High Speed internet ready - WIFI
Comes with HP Power Supply

Price: $225
Software installed:

Windows 10 Pro or Windows 11 Pro
Microsoft Office 2007
Malwarebytes anti malware software
Adobe PDF Reader


Call or text for more info!!
Prism Computers",7832477374,
"HP 650 G4 Laptop, Intel i5 8th Gen, 256 GB SSD Drive, 8GB memory",$150,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-650-g4-laptop-intel-i5-8th/7832477071.html,,,,"QR Code Link to This Post


HP 650 G4 ProBook Laptop in great condition. Comes with AC adapter and decent battery life. The ProBook line is HP's commercial laptops, they are much more robust than the consumer line of laptops.

HP 650 G4 ProBook Laptop - Good battery life - 15"" Screen
Intel Core i5-8250U 8th Gen Processor
8 GIG DDR4 Memory - Upgrade to 16GB memory for $15 more
256 GIG M.2 SSD Drive
DVD / CD Burner Drive
2 USB 3.0 Ports - 1 USB C Port
Webcam
-Realtek High Def Audio
-Intel Extreme Graphics
-High Speed internet ready - Built in WIFI Enabled
-Comes with HP Power Supply

Price: $150

Software installed:

Windows 10 Pro or Windows11 Pro
Microsoft Office 2007
Malwarebytes anti malware software
Adobe Acrobat PDF Reader

Call or text for more info!
Prism Computers",7832477071,
"HP 840 G5 Laptop, Intel i7 8th gen, 512 GB SSD, 16GB mem",$200,Hillsboro,https://portland.craigslist.org/wsc/sys/d/hillsboro-hp-840-g5-laptop-intel-i7-8th/7832476913.html,,,,"QR Code Link to This Post


HP 840 G5 EliteBook Laptop in very clean condition. Comes with AC adapter and decent battery life. The EliteBook line is HP's commercial laptops, they are much more robust than the consumer line of laptops.

HP 840 G5 EliteBook Laptop - Good battery life - 14"" Screen - lightweight
Intel Core i7 Processor - 8550U 8th Gen CPU
16 GIG DDR4 Memory
512 GIG M.2 SSD Drive
2 USB 3.0 Ports - 1 USB C Port
Webcam
Realtek High Def Audio
AMD Radeon RX 540 dedicated graphics
High Speed internet ready - WIFI
Comes with HP Power Supply

Price: $200
Software installed:

Windows 10 Pro or Windows 11 Pro
Microsoft Office 2007
Malwarebytes anti malware software
Adobe PDF Reader


Call or text for more info!!
Prism Computers",7832476913,
"HP Laptop i3 15.6"" Touch Screen, Web Cam",$80,Colton,https://portland.craigslist.org/clc/sys/d/colton-hp-laptop-i3-156-touch-screen/7824257013.html,,,,"QR Code Link to This Post


Good Laptop, works as it should and has been freshly reloaded with windows 10 Pro.
Windows 10 Pro Activated with Digital License, so you can reload and re-activate with no problem.
Battery is bad, but I have seen new ones listed as low as $20 on Amazon or eBay.
Has scratches from use, but otherwise no functional flaws.
Good OEM power supply.

HP K7W73UA#ABA Model 15-r253cl TouchSmart Notebook PC, 15.6"" touchscreen display
2.1GHz 5th generation Intel Core i3-5010U
8G Ram, 750G 5400rpm HD
10/100BASE-T Ethernet LAN RJ-45 connector, 1x1 802.11b/g/n WLAN Bluetooth, DTS Studio Sound+
Front facing HP TrueVision HD Webcam with integrated digital microphone
Multi-format digital media card reader for Secure Digital cards, 1 SuperSpeed USB 3.0, 2 Universal Serial Bus USB 2.0, 1 HDMI, 1 RJ-45 LAN, 1 Headphone-out/microphone-in combo jack


$80",7824257013,
Laptop MacBook Pro 13 inch,$65,Vancouver,https://portland.craigslist.org/mlt/sys/d/vancouver-laptop-macbook-pro-13-inch/7857949864.html,,,,"QR Code Link to This Post


MacBook Pro 13 inch
Early 2015 See photo for details",7857949864,
"Leeds laptop messenger bag for 17"" laptop-Pet/Smoke Free home",$5,Beaverton,https://portland.craigslist.org/wsc/sys/d/portland-leeds-laptop-messenger-bag-for/7831601165.html,,,,"QR Code Link to This Post


Clean, Good condition , multi pocket. Pet/Smoke Free home",7831601165,
ASUS RYZEN 7 7435HS 8GB RAM 500GB SSD RTX 2050 GAMING LAPTOP,$475,136th & SE Powell Blvd,https://portland.craigslist.org/mlt/sys/d/portland-asus-ryzen-hs-8gb-ram-500gb/7848715302.html,,,,"QR Code Link to This Post


Asus TUF A17 17.3"" 144Hz FHD RYZEN 7 7435HS 8GB RAM 500GB SSD RTX 2050 GAMING LAPTOP
$475
136th and SE Powell Blvd",7848715302,
"DELL Latitude E6520 Laptop with i7 processor, SSD, Windows 10",$90,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-dell-latitude-e6520-laptop/7854756246.html,,,,"QR Code Link to This Post


Brand/ Model: DELL Latitude E6520
Processor Type: i7-2640M
Processor Speed: 2.8 GHz 
Memory: 8 GB DDR3
Hard Drive: 120 GB SSD
Operating System: Windows 10 Pro
 Wi-fi
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions",7854756246,
"Case Logic Laptop Carrying Case, Black, Up to 16"", Nice!",$10,Cedar Mill Area,https://portland.craigslist.org/wsc/sys/d/portland-case-logic-laptop-carrying/7821548076.html,,,,"QR Code Link to This Post


Please read the ad description. If you see the ad, it is still available.

Excellent condition, very little use, clean, all zippers work smooth. Has storage for files and small items and a zippered pouch on the outside for easy access to your cell phone. Outside: 17 1/4"" x 12 1/2"" x 3 1/2"" - Inside: 16"" x 12"" x 2 1/2"".

Not interested offers or trades. Local CASH sale only. No TEXTS or PHONE CALLS, email only.
Please email with a day and time you would like to come buy them all for $10.00. Thank you.",7821548076,
"Lenovo Thinkpad Laptop with i7 processor, Windows 10, SSD, Touchscreen",$120,Milwaukie,https://portland.craigslist.org/clc/sys/d/portland-lenovo-thinkpad-laptop-with-i7/7854912722.html,,,,"QR Code Link to This Post


Brand/Model: ThinkPad T440s
Processor Type: i7 4th gen
Processor Speed: 2.6 GHz 
Memory: 8 GB DDR3 
Hard Drive: 250 GB SSD
Operating System: Windows 10
Wi-fi
Touchscreen 
You can try it before you buy it.
Internet ready.
Power adapter included

Let  me know if you have questions  show contact info",7854912722,
